post_date,price,mfdate,mileage,gear_box,condition,fuel,body_style,origin,district,city,car_age,is_imported
2025,585000000,2024,26000.0,Tự động,Đã sử dụng,Xăng,Suv / cross over,Nhập khẩu,Quận Long Biên,Hà Nội,1,1
2025,365000000,2006,15000.0,Tự động,Đã sử dụng,Xăng,Sedan,Trong nước,Quận Long Biên,Hà Nội,19,0
2025,210000000,2014,12.0,Số sàn,Đã sử dụng,Xăng,Sedan,Trong nước,Huyện Thanh Oai,Hà Nội,11,0
2025,388000000,2017,90000.0,Tự động,Đã sử dụng,Xăng,Sedan,Trong nước,Huyện Đan Phượng,Hà Nội,8,0
2025,565000000,2016,80000.0,Tự động,Đã sử dụng,Xăng,Suv / cross over,Trong nước,Quận Cầu Giấy,Hà Nội,9,0
2025,320000000,2012,150000.0,Tự động,Đã sử dụng,Xăng,Sedan,Nhập khẩu,Quận Hoàng Mai,Hà Nội,13,1
2025,665000000,2025,5000.0,Tự động,Đã sử dụng,Xăng,Suv / cross over,Trong nước,Quận Long Biên,Hà Nội,0,0
2025,488000000,2020,68000.0,Tự động,Đã sử dụng,Xăng,Sedan,Trong nước,Quận Long Biên,Hà Nội,5,0
2025,489000000,2017,92000.0,Tự động,Đã sử dụng,Xăng,Suv / cross over,Trong nước,Quận Hoàng Mai,Hà Nội,8,0
2025,188000000,2008,12.0,Tự động,Đã sử dụng,Xăng,Minivan (mpv),Nhập khẩu,Huyện Thanh Oai,Hà Nội,17,1
2025,340000000,2009,25000.0,Số sàn,Đã sử dụng,Dầu,Suv / cross over,Trong nước,Quận Long Biên,Hà Nội,16,0
2025,450000000,2016,10000.0,Tự động,Đã sử dụng,Xăng,Suv / cross over,Trong nước,Quận Bắc Từ Liêm,Hà Nội,9,0
2025,1599000000,2025,20000.0,Tự động,Đã sử dụng,Dầu,Suv / cross over,Nhập khẩu,Quận Bắc Từ Liêm,Hà Nội,0,1
2025,605000000,2021,54000.0,5,Đã sử dụng,Xăng,Suv / cross over,Trong nước,Quận Bắc Từ Liêm,Hà Nội,4,0
2025,550000000,2022,50000.0,Tự động,Đã sử dụng,Xăng,Hatchback,Trong nước,Quận Long Biên,Hà Nội,3,0
2025,619000000,2017,68000.0,Số sàn,Đã sử dụng,Dầu,Suv / cross over,Trong nước,Quận Tây Hồ,Hà Nội,8,0
